,Annual meeting,Asking price,Asking price per m²,Balcony/roof garden,Bathroom facilities,Building insurance,Building type,CH boiler,Energy label,Exterior space attached to the building,Facilities,Heating,Hot water,Insulation,Listed since,Living area,Located at,Location,Maintenance plan,Number of bath rooms,Number of rooms,Number of stories,Periodic contribution,Registration with KvK,Reserve fund present,Specific,Status,Type apartment,Type of parking facilities,Volume in cubic meters,Year of construction,Back garden,Garden,Garden location,Kind of house,Other space inside the building,Type of garage,External storage space,Provisional energy label,Shed / storage,VVE (Owners Association) contribution,Type of roof,Plot size
0,No,875000,4755,Balcony present,Sauna and toilet,No,Resale property,"Remeha Callenta ( combination boiler from 2018, in ownership)",,7,"Alarm installation, outdoor awning, skylight, sauna and TV via cable",CH boiler,CH boiler,Partly double glazed,7 ,184,2 ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,6 rooms (3 bedrooms),2,No,No,No,"Protected townscape or village view (permit needed for alterations), listed building (national monument) and monumental building",Sold under reservation,Upstairs apartment (double upstairs apartment),"Paid parking, public parking and resident's parking permits",858,1886,,,,,,,,,,,,
1,,766000,5007,,2 toilets,,New property,,,16,Mechanical ventilation,,,Double glazing,2 ,153,,"Alongside park, alongside a quiet road, sheltered location and in residential district",,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),2,,,,,Under option,,,316,2020,"16 m² (0,03 meter deep and 0,06 meter broad)",Back garden,Located at the west,"Single-family home, row house",10 ,Underground parking,,,,,,
2,Yes,265000,3681,Balcony present,Shower,Yes,Resale property,"Gas-fired combination boiler, in ownership",,4,Electricity,CH boiler,CH boiler,,4 ,72,1 ,,Yes,1 bathroom,4 rooms (3 bedrooms),4,Yes (€ 110.00 per month),Yes,Yes,,Sold under reservation,Residential property with shared street entrance (apartment),Public parking,210,1963,,,,,,,4,E ,Built-in, 110.00  ,,
3,Yes,225000,5488,Balcony present,Shower and toilet,Yes,Resale property,,E  ,7,TV via cable,Communal central heating,Electrical boiler,Double glazing and energy efficient window,3 ,41,4 ,,Yes,1 bathroom,2 rooms (1 bedroom),1,Yes (€ 141.96 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations) and with carpets and curtains,Under offer,Upstairs apartment (apartment),Parking on gated property,133,1979,,,,,,Parking place,10,,Built-in, 141.96  ,Flat roof covered with asphalt roofing,
4,Yes,250000,3571,Balcony present,Shower,Yes,Resale property,,E  ,7,Electricity,Communal central heating,Central facility,Double glazing,"March 4, 2022",70,7 ,Alongside a quiet road and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 278.53 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment with open entrance to street),Parking on private property and public parking,225,1977,,,,,,Parking place,17,,Built-in, 278.53  ,Flat roof covered with asphalt roofing,
5,No,449500,4013,,Shower,Yes,Resale property,"Remeha Avanta (gas-fired combination boiler from 2018, in ownership)",E  ,,Skylight and passive ventilation system,CH boiler,CH boiler,Partly double glazed,4 ,112,Grou ,In residential district,No,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),2,No,No,No,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Available,Ground-floor apartment (apartment),Paid parking and resident's parking permits,400,1906,"19 m² (7,3 meter deep and 2,55 meter broad)",Back garden,Located at the northwest accessible via the rear,,,,,,,,Combination roof covered with asphalt roofing and roof tiles,
6,Yes,540000,4122,,Shower and toilet,Yes,Resale property,"Remeha Quinta 35c (gas-fired combination boiler from 2007, in ownership)",,,Electrical door,CH boiler,CH boiler,Double glazing,3 ,131,11 ,"On the edge of a forest, alongside busy road, alongside a quiet road, In wooded surroundings, freestanding location, unobstructed surrounding view and seaview",Yes,2 bathrooms and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 267.50 per month),Yes,Yes,With carpets and curtains,Sold under reservation,Apartment with shared street entrance (apartment),"Paid parking, parking on gated property, parking on private property, public parking, parking garage and resident's parking permits",454,1993,,,,,10 ,Built-in and parking place,21,C ,Built-in, 267.50  ,Flat roof covered with asphalt roofing,
7,Yes,225000,5921,,Shower and toilet,Yes,Resale property,"Remeha Avanta (gas-fired combination boiler, in ownership)",B 1.40  ,,,CH boiler,CH boiler,Double glazing,"March 2, 2022",38,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom,2 rooms (1 bedroom),1,Yes (€ 75.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Ground-floor apartment (apartment),Public parking and resident's parking permits,99,1893,,,,,,,,,, 75.00  ,,
8,Yes,415000,4611,Balcony present,Bath and toilet,Yes,Resale property,"Vaillant HR (gas-fired combination boiler from 2015, in ownership)",E  ,10,Passive ventilation system and TV via cable,CH boiler,CH boiler,Double glazing,5 ,90,3 ,Alongside a quiet road and in residential district,Yes,1 bathroom,3 rooms (1 bedroom),1,Yes (€ 90.00 per month),Yes,No,Protected townscape or village view (permit needed for alterations),Sold under reservation,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",341,1911,,,,,,,1,,, 90.00  ,Combination roof covered with asphalt roofing,
9,Yes,250000,2907,Balcony present,,Yes,Resale property,,E  ,6,Elevator,Communal central heating,Gas-fired boiler,Partly double glazed,7 ,86,4 ,In residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 155.00 per month),Yes,Yes,With carpets and curtains,Available,Galleried apartment (apartment),"Paid parking, public parking and resident's parking permits",315,1969,,,,,,,7,,Built-in, 155.00  ,Flat roof covered with asphalt roofing,
